,fuel-type,body-style,curb-weight,num-of-cylinders,engine-size,horsepower,city-mpg,highway-mpg,price
120,gas,hatchback,1967.0,four,90,68,31,38,6229
121,gas,sedan,1989.0,four,90,68,31,38,6692
122,gas,sedan,2191.0,four,98,68,31,38,7609
123,gas,wagon,2535.0,four,122,88,24,30,8921
124,gas,hatchback,2818.0,four,156,145,19,24,12764
125,gas,hatchback,2778.0,four,151,143,19,27,22018
126,gas,hardtop,2756.0,six,194,207,17,25,32528
127,gas,hardtop,2756.0,six,194,207,17,25,34028
128,gas,convertible,2800.0,six,194,207,17,25,37028
129,gas,hatchback,3366.0,eight,203,288,17,28,?
130,gas,wagon,2579.0,four,132,?,23,31,9295
131,gas,hatchback,2460.0,four,132,?,23,31,9895
132,gas,hatchback,2658.0,four,121,110,21,28,11850
133,gas,sedan,2695.0,four,121,110,21,28,12170
134,gas,hatchback,2707.0,four,121,110,21,28,15040
135,gas,sedan,2758.0,four,121,110,21,28,15510
136,gas,hatchback,2808.0,four,121,160,19,26,18150
137,gas,sedan,2847.0,four,121,160,19,26,18620
138,gas,hatchback,2050.0,four,97,69,31,36,5118
139,gas,hatchback,2120.0,four,108,73,26,31,7053
140,gas,hatchback,2240.0,four,108,73,26,31,7603
141,gas,sedan,2145.0,four,108,82,32,37,7126
142,gas,sedan,2190.0,four,108,82,28,33,7775
143,gas,sedan,2340.0,four,108,94,26,32,9960
144,gas,sedan,2385.0,four,108,82,24,25,9233
145,gas,sedan,2510.0,four,108,111,24,29,11259
146,gas,wagon,2290.0,four,108,82,28,32,7463
147,gas,wagon,2455.0,four,108,94,25,31,10198
148,gas,wagon,2420.0,four,108,82,23,29,8013
149,gas,wagon,2650.0,four,108,111,23,23,11694
150,gas,hatchback,1985.0,four,92,62,35,39,5348
151,gas,hatchback,2040.0,four,92,62,31,38,6338
152,gas,hatchback,2015.0,four,92,62,31,38,6488
153,gas,wagon,2280.0,four,92,62,31,37,6918
154,gas,wagon,2290.0,four,92,62,27,32,7898
155,gas,wagon,3110.0,four,92,62,27,32,8778
156,gas,sedan,2081.0,four,98,70,30,37,6938
157,gas,hatchback,2109.0,four,98,70,30,37,7198
158,diesel,sedan,2275.0,four,110,56,34,36,7898
159,diesel,hatchback,2275.0,four,110,56,38,47,7788
160,gas,sedan,2094.0,four,98,70,38,47,7738
161,gas,hatchback,2122.0,four,98,70,28,34,8358
162,gas,sedan,2140.0,four,98,70,28,34,9258
163,gas,sedan,2169.0,four,98,70,29,34,8058
164,gas,hatchback,2204.0,four,98,70,29,34,8238
165,gas,sedan,2265.0,four,98,112,26,29,9298
166,gas,hatchback,2300.0,four,98,112,26,29,9538
167,gas,hardtop,2540.0,four,146,116,24,30,8449
168,gas,hardtop,2536.0,four,146,116,24,30,9639
169,gas,hatchback,2551.0,four,146,116,24,30,9989
170,gas,hardtop,2679.0,four,146,116,24,30,11199
171,gas,hatchback,2714.0,four,146,116,24,30,11549
172,gas,convertible,2975.0,four,146,116,24,30,17669
173,gas,sedan,2326.0,four,122,92,29,34,8948
174,diesel,sedan,2480.0,four,110,73,30,33,10698
175,gas,hatchback,2414.0,four,122,92,27,32,9988
176,gas,sedan,2414.0,four,122,92,27,32,10898
177,gas,hatchback,2458.0,four,122,92,27,32,11248
178,gas,hatchback,2976.0,six,171,161,20,24,16558
179,gas,hatchback,3016.0,six,171,161,19,24,15998
180,gas,sedan,3131.0,six,171,156,20,24,15690
181,gas,wagon,3151.0,six,161,156,19,24,15750
182,diesel,sedan,2261.0,four,97,52,37,46,7775
183,gas,sedan,2209.0,four,109,85,27,34,7975
184,diesel,sedan,2264.0,four,97,52,37,46,7995
185,gas,sedan,2212.0,four,109,85,27,34,8195
186,gas,sedan,2275.0,four,109,85,27,34,8495
187,diesel,sedan,2319.0,four,97,68,37,42,9495
188,gas,sedan,2300.0,four,109,100,26,32,9995
189,gas,convertible,2254.0,four,109,90,24,29,11595
190,gas,hatchback,2221.0,four,109,90,24,29,9980
191,gas,sedan,2661.0,five,136,110,19,24,13295
192,diesel,sedan,2579.0,four,97,68,33,38,13845
193,gas,wagon,2563.0,four,109,88,25,31,12290
194,gas,sedan,2912.0,four,141,114,23,28,12940
195,gas,wagon,3034.0,four,141,114,23,28,13415
196,gas,sedan,2935.0,four,141,114,24,28,15985
197,gas,wagon,3042.0,four,141,114,24,28,16515
198,gas,sedan,3045.0,four,130,162,17,22,18420
199,gas,wagon,3157.0,four,130,162,17,22,18950
200,gas,sedan,2952.0,four,141,114,23,28,16845
201,gas,sedan,3049.0,four,141,160,19,25,19045
202,gas,sedan,3012.0,six,173,134,18,23,21485
203,diesel,sedan,3217.0,six,145,106,26,27,22470
204,gas,sedan,3062.0,four,141,114,19,25,22625
